Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Orig Mean Difference,Orig Disparate Impact,Accuracy,Precision,Recall,AUC,Dataset,Sens_Attr,Valid,Time,Failed,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
di1,pr2,roc3,-,-0.041324923842622374,0.8903880732900876,0.08462850536869448,0.02629291975393165,0.04372188120434961,-0.0903265113485219,0.6532872200263504,0.7976559044670499,0.5612153708668454,0.8406961178045516,0.898832431002859,Adult,Race,Valid,{65.45},,0.1610712746768744,0.036234480157762726,0.07277645215934131,4,1.0,23.0
-,gsr_eo1,roc2,-,-0.05084824301711932,0.8593162393162393,0.08666672666101402,0.025469503158572077,0.056406076392051085,-0.0903265113485219,0.6532872200263504,0.8066121185316232,0.5767790262172284,0.8246318607764391,0.899614103104236,Adult,Race,Valid,{35.65},,0.1610712746768744,0.036234480157762726,0.07277645215934131,4,2.0,5.0
rw1,gsr_eo2,roc3,-,-0.05084824301711932,0.8593162393162393,0.08666672666101402,0.025469503158572077,0.056406076392051085,-0.0903265113485219,0.6532872200263504,0.8066121185316232,0.5767790262172284,0.8246318607764391,0.899614103104236,Adult,Race,Valid,{36.83},,0.1610712746768744,0.036234480157762726,0.07277645215934131,4,2.0,5.0
-,pr1,roc2,-,-0.047913502381258855,0.8745822102425875,0.08488644969752356,0.019481913136928472,0.03713730168849383,-0.0903265113485219,0.6532872200263504,0.7942282176028306,0.5559811431938715,0.8420348058902276,0.8986012155830929,Adult,Race,Valid,{78.93},,0.1610712746768744,0.036234480157762726,0.07277645215934131,4,4.0,13.0
rw1,pr2,roc3,-,-0.047913502381258855,0.8745822102425875,0.08488644969752356,0.019481913136928472,0.03713730168849383,-0.0903265113485219,0.6532872200263504,0.7942282176028306,0.5559811431938715,0.8420348058902276,0.8986012155830929,Adult,Race,Valid,{80.49},,0.1610712746768744,0.036234480157762726,0.07277645215934131,4,4.0,13.0
di1,-,roc2,Naive Bayes,-0.03468485862616377,0.8932382461701005,0.09440440589723656,0.034304047326123105,0.05577767253784083,-0.0903265113485219,0.6532872200263504,0.8183325961963733,0.6033172080165861,0.7791164658634538,0.8952550201131177,Adult,Race,Valid,{21.09},,0.09589955493126144,-0.1301747889714491,-0.159339083076811,4,6.0,50.0
di1,-,-,Logistic Regression,-0.022010554768953527,0.8891050583657588,0.13519975688693417,0.026796161405924328,0.03369929509480696,-0.0903265113485219,0.6532872200263504,0.8363555948695267,0.7153367289190719,0.5640339134315038,0.8780606280283072,Adult,Race,Valid,{4.83},,0.1610712746768744,0.036234480157762726,0.07277645215934131,4,7.0,51.0
di1,gsr_eo2,roc3,-,-0.04286952417728579,0.8867550719709849,0.08484641962256649,0.033214777509295634,0.06413134551283217,-0.0903265113485219,0.6532872200263504,0.796329057938965,0.5592163846838825,0.8406961178045516,0.9009195355252818,Adult,Race,Valid,{43.59},,0.1610712746768744,0.036234480157762726,0.07277645215934131,4,8.0,9.0
-,-,eop1,Naive Bayes,-0.04769039344402973,0.8386295005807199,0.11764206093332266,-0.010107962544842974,-0.02612885011201982,-0.0903265113485219,0.6532872200263504,0.8039584254754534,0.5895865237366003,0.6871932173136992,0.895837191023227,Adult,Race,Valid,{0.46},,0.09589955493126144,-0.1301747889714491,-0.159339083076811,3,9.0,24.0
di1,-,eop2,Naive Bayes,-0.05408503882953619,0.8666074074074074,0.08918274608866271,-0.008739681122784337,-0.020632593213238404,-0.0903265113485219,0.6532872200263504,0.7701238390092879,0.5225125069483046,0.8389112003569835,0.8952550201131177,Adult,Race,Valid,{3.62},,0.09589955493126144,-0.1301747889714491,-0.159339083076811,4,10.0,58.0
rw1,-,roc2,Naive Bayes,-0.034104775389368014,0.9079680444598819,0.0867351206044895,0.04061187694205501,0.06989854465310286,-0.0903265113485219,0.6532872200263504,0.7982087571870854,0.5628778718258767,0.8308790718429273,0.8962453108364994,Adult,Race,Valid,{20.22},,0.09589955493126144,-0.1301747889714491,-0.159339083076811,4,11.0,30.0
-,-,roc1,Naive Bayes,-0.03570944351482391,0.9030315740417103,0.08657865367101183,0.04013551435863294,0.07088668694559297,-0.0903265113485219,0.6532872200263504,0.8003095975232198,0.5662100456621004,0.8299866131191432,0.895837191023227,Adult,Race,Valid,{18.16},,0.09589955493126144,-0.1301747889714491,-0.159339083076811,4,12.0,41.0
-,-,eop1,Random Forest,-0.04693353928004462,0.7928257575757576,0.1293301614133396,-0.015676148892207815,-0.03841687765250179,-0.0903265113485219,0.6532872200263504,0.8303847854931447,0.6777275012569131,0.6015171798304328,0.8840655712499992,Adult,Race,Valid,{2.93},,0.12642391903947714,-0.05567074836571344,-0.0703516329392907,3,13.0,1.0
