Pre,In_p,Post,Classifier,Ovr_Rank,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,Orig Mean Difference,Orig Disparate Impact,AUC,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Perf_Rank,Fair_Rank,Rank
-,pr1,-,-,1.0,-0.19681168700954677,0.280333168585573,0.12068470575545097,-0.10071940633811229,-0.11761431128402156,0.8488500663423264,0.7314618644067796,0.6162427487728692,Adult,Sex,Valid,{64.03},,-0.20787328732596289,0.34247480246555784,0.9060152938013344,0.1450426100556762,-0.1360620395426585,-0.18176359970093126,5,27.5,72.0,1.0
rw1,pr2,-,-,1.0,-0.19681168700954677,0.280333168585573,0.12068470575545097,-0.10071940633811229,-0.11761431128402156,0.8488500663423264,0.7314618644067796,0.6162427487728692,Adult,Sex,Valid,{65.14},,-0.20787328732596289,0.34247480246555784,0.9060152938013344,0.1450426100556762,-0.1360620395426585,-0.18176359970093126,5,27.5,72.0,1.0
-,gsr_eo1,-,-,3.0,-0.17489643910042996,0.32723613096349186,0.12266072023494506,-0.06457406721412803,-0.061066355082713186,0.849624060150376,0.7405789186237028,0.6050870147255689,Adult,Sex,Valid,{16.39},,-0.20787328732596289,0.34247480246555784,0.905094105331775,0.1450426100556762,-0.1360620395426585,-0.18176359970093126,5,27.5,73.0,3.0
rw1,gsr_eo2,-,-,3.0,-0.17489643910042996,0.32723613096349186,0.12266072023494506,-0.06457406721412803,-0.061066355082713186,0.849624060150376,0.7405789186237028,0.6050870147255689,Adult,Sex,Valid,{18.32},,-0.20787328732596289,0.34247480246555784,0.905094105331775,0.1450426100556762,-0.1360620395426585,-0.18176359970093126,5,27.5,73.0,3.0
di1,pr2,-,-,5.0,-0.23221151129669657,0.2506518481813141,0.11093262932108539,-0.13917611342301836,-0.16768244330153836,0.8484077841662981,0.7059659090909091,0.6653279785809906,Adult,Sex,Valid,{54.43},,-0.20787328732596289,0.34247480246555784,0.90594360062295,0.1450426100556762,-0.1360620395426585,-0.18176359970093126,3,29.75,72.0,5.0
-,gsr_eo1,-,-,6.0,-0.08176149490742246,0.6177257028967869,0.12266072023494506,-0.037686378275982174,-0.05499510044096023,0.849624060150376,0.7405789186237028,0.6050870147255689,Adult,Race,Valid,{18.98},,-0.10411148351827143,0.6031419197588673,0.905094105331775,0.1450426100556762,0.032063451007937144,0.05466682998530126,2,27.5,77.5,6.0
rw1,gsr_eo2,-,-,6.0,-0.08176149490742246,0.6177257028967869,0.12266072023494506,-0.037686378275982174,-0.05499510044096023,0.849624060150376,0.7405789186237028,0.6050870147255689,Adult,Race,Valid,{17.21},,-0.10411148351827143,0.6031419197588673,0.905094105331775,0.1450426100556762,0.032063451007937144,0.05466682998530126,2,27.5,77.5,6.0
di1,pr2,-,-,8.0,-0.1288161791025349,0.49562663642792076,0.10911500626676605,-0.0824866263077216,-0.1029985301322881,0.8487394957983193,0.7033069399161621,0.6738063364569389,Adult,Race,Valid,{47.17},,-0.10411148351827143,0.6031419197588673,0.9048033970366252,0.1450426100556762,0.032063451007937144,0.05466682998530126,2,36.25,69.5,8.0
-,pr1,-,-,9.0,-0.09902704109856497,0.548399542938549,0.12090128830237126,-0.057641745288292266,-0.07979421852033308,0.8503980539584255,0.7389666307857912,0.6126729138777331,Adult,Race,Valid,{62.16},,-0.10411148351827143,0.6031419197588673,0.9055474843335974,0.1450426100556762,0.032063451007937144,0.05466682998530126,3,25.75,80.5,9.0
rw1,pr2,-,-,9.0,-0.09902704109856497,0.548399542938549,0.12090128830237126,-0.057641745288292266,-0.07979421852033308,0.8503980539584255,0.7389666307857912,0.6126729138777331,Adult,Race,Valid,{63.68},,-0.10411148351827143,0.6031419197588673,0.9055474843335974,0.1450426100556762,0.032063451007937144,0.05466682998530126,3,25.75,80.5,9.0
