Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,Orig Mean Difference,Orig Disparate Impact,AUC,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
rw1,-,eop2,Random Forest,-0.055155624613582366,0.7634450057918022,0.12277417454612227,0.00018619183055998412,0.0003062224399803526,0.8363555948695267,0.6866110838646395,0.6247211066488175,Adult,Race,Valid,{3.52},,-0.10411148351827143,0.6031419197588673,0.8866938510407284,0.11737751710500567,-0.026812019920930834,-0.005372366487016111,3,1.0,1.0
di1,gsr_eo2,eop3,-,-0.06727774885294979,0.7239341318164824,0.12079315377473948,-0.005911757744033408,0.0025673689367956554,0.8339230429013711,0.6743747050495517,0.6376617581436859,Adult,Race,Valid,{26.65},,-0.10411148351827143,0.6031419197588673,0.8985593672319409,0.13570907687782385,0.027484457792265368,0.05439000489955903,4,2.0,14.0
-,-,eop1,Random Forest,-0.051268670072565165,0.7823948427907491,0.12098330155966593,0.010546368497482077,0.01942675159235674,0.8371295886775763,0.685866408518877,0.6323070058009818,Adult,Race,Valid,{3.29},,-0.10411148351827143,0.6031419197588673,0.8884221945026091,0.11737751710500567,-0.026812019920930834,-0.005372366487016111,2,3.0,3.0
rw1,-,eop2,Naive Bayes,-0.047812876248739034,0.844812608587739,0.1072096300458314,0.012281345279387082,0.013885350318471379,0.8112560813799203,0.5979457079970653,0.7273538598839804,Adult,Race,Valid,{0.19},,-0.10411148351827143,0.6031419197588673,0.8928159106119219,0.09777133936127072,-0.10404227620990618,-0.1060901518863302,3,4.0,43.0
di1,egr_fp2,roc3,-,-0.025702059809313088,0.8973500896732773,0.11883448696700216,0.010510403255295495,-0.020071043606075478,0.8291685095090667,0.6559139784946236,0.6532797858099063,Adult,Race,Valid,{110.88},,-0.10411148351827143,0.6031419197588673,0.7865182453891546,0.13570907687782385,0.027484457792265368,0.05439000489955903,4,5.0,16.0
-,-,eop1,Naive Bayes,-0.04752896098402262,0.8381018754572259,0.12135745146789798,0.008227251610661554,0.01131063204311622,0.7996461742591774,0.5826589595375723,0.6746987951807228,Adult,Race,Valid,{0.17},,-0.10411148351827143,0.6031419197588673,0.8927746525980118,0.09777133936127072,-0.10404227620990618,-0.1060901518863302,3,6.0,38.0
-,-,-,Random Forest,-0.09812323061403794,0.5893497933420037,0.11737751710500567,-0.026812019920930834,-0.005372366487016111,0.8440955329500222,0.7039764359351989,0.6398929049531459,Adult,Race,Valid,{2.98},,-0.10411148351827143,0.6031419197588673,0.8886948319188525,0.11737751710500567,-0.026812019920930834,-0.005372366487016111,2,7.0,10.0
-,-,cpp1,Logistic Regression,-0.05947414662718428,0.7007057821736781,0.13699119974777657,-0.009714790328035357,-0.010609995100440917,0.836687306501548,0.721835075493612,0.5546630968317715,Adult,Race,Valid,{0.37},,-0.10411148351827143,0.6031419197588673,0.871367417175521,0.13570907687782385,0.027484457792265368,0.05439000489955903,3,8.0,56.0
rw1,-,cpp2,Logistic Regression,-0.04385067195991019,0.7704184200214662,0.14038877141189615,-0.007864378049373906,-0.027871141597256233,0.8351393188854489,0.7242822966507177,0.5403837572512271,Adult,Race,Valid,{0.52},,-0.10411148351827143,0.6031419197588673,0.8670586440360228,0.13570907687782385,0.027484457792265368,0.05439000489955903,3,9.0,13.0
-,-,eop1,Logistic Regression,-0.06194518564316162,0.6980366263760668,0.13781649036925372,-0.008450449300586048,-0.0030597746202841725,0.8321539141972578,0.7034327518289252,0.5577867023650156,Adult,Race,Valid,{0.32},,-0.10411148351827143,0.6031419197588673,0.8745506795667161,0.13570907687782385,0.027484457792265368,0.05439000489955903,3,10.0,6.0
-,pr1,eop2,-,-0.07161823565780481,0.6386576696383129,0.14115314192329234,-0.014337381705785211,-0.0014012738853502738,0.8322644847412649,0.7126909518213866,0.5412762159750112,Adult,Race,Valid,{50.82},,-0.10411148351827143,0.6031419197588673,0.8988319718516709,0.13570907687782385,0.027484457792265368,0.05439000489955903,3,10.0,35.0
-,egr_fp1,roc2,-,0.005680339071296087,1.02584388185654,0.1257427812934341,0.050614145605693356,0.035984811366976954,0.8350287483414418,0.6877192982456141,0.6122266845158412,Adult,Race,Valid,{76.57},,-0.10411148351827143,0.6031419197588673,0.7781978027254296,0.13570907687782385,0.027484457792265368,0.05439000489955903,3,12.0,20.0
rw1,egr_fp2,roc3,-,0.005680339071296087,1.02584388185654,0.1257427812934341,0.050614145605693356,0.035984811366976954,0.8350287483414418,0.6877192982456141,0.6122266845158412,Adult,Race,Valid,{70.1},,-0.10411148351827143,0.6031419197588673,0.7781978027254296,0.13570907687782385,0.027484457792265368,0.05439000489955903,3,12.0,20.0
