"Pre","In_p","Post","Classifier","Mean.Difference","Disparate.Impact","Theil.Index","Average.Odds.Difference","Equal.Opportunity.Difference","Accuracy","Precision","Recall","Dataset","Sens_Attr","Valid","Time","Failed","Orig.Mean.Difference","Orig.Disparate.Impact","AUC","Orig.Theil","Orig.Av.Odds","Orig.Eq.Opp.Diff","Ovr_Rank","Combo"
"di1","egr_fp2","roc3","-",-0.0179411668998731,0.92507660843746,0.118748936655172,0.020907636207845,-0.00625183733463985,0.835249889429456,0.675221651889874,0.645693886657742,"Adult","Race","Valid",100.18,"",-0.104111483518271,0.603141919758867,0.791055446244776,0.129656738196464,0.023372121648678,0.0519524742773151,27,"di1+egr_fp2+roc3+-"
"-","gsr_eo1","-","-",-0.0778655917477466,0.63195971822754,0.124978894689957,-0.0192093458296414,-0.0132361587457129,0.847412649270234,0.737190082644628,0.597054886211513,"Adult","Race","Valid",16.29,"",-0.104111483518271,0.603141919758867,0.902567330750149,0.129656738196464,0.023372121648678,0.0519524742773151,10,"-+gsr_eo1+-+-"
"rw1","gsr_eo2","-","-",-0.0778655917477466,0.63195971822754,0.124978894689957,-0.0192093458296414,-0.0132361587457129,0.847412649270234,0.737190082644628,0.597054886211513,"Adult","Race","Valid",17.49,"",-0.104111483518271,0.603141919758867,0.902567330750149,0.129656738196464,0.023372121648678,0.0519524742773151,10,"rw1+gsr_eo2+-+-"
"rw1","-","cpp2","Logistic Regression",-0.0398970095343464,0.77923276374309,0.140873843115902,0.00991638804387177,0.0108476237138658,0.839783281733746,0.75,0.530120481927711,"Adult","Race","Valid",0.39,"",-0.104111483518271,0.603141919758867,0.878319261333311,0.129656738196464,0.023372121648678,0.0519524742773151,16,"rw1+-+cpp2+Logistic Regression"
"di1","pr2","roc3","-",-0.0353376883277472,0.907649575011799,0.0824258618647975,0.0461355480801549,0.0698260656540912,0.796439628482972,0.558548009367681,0.85140562248996,"Adult","Race","Valid",67.97,"",-0.104111483518271,0.603141919758867,0.905070950993285,0.129656738196464,0.023372121648678,0.0519524742773151,47,"di1+pr2+roc3+-"
"di1","gsr_eo2","-","-",-0.0886315935049299,0.612392469101543,0.118277423611794,-0.0276210796210795,-0.0215531602155806,0.84796550199027,0.721370143149284,0.62962962962963,"Adult","Race","Valid",25.15,"",-0.104111483518271,0.603141919758867,0.904576313977553,0.129656738196464,0.023372121648678,0.0519524742773151,21,"di1+gsr_eo2+-+-"
"-","pr1","roc2","-",-0.0324432169470567,0.911621768960749,0.0852276064699288,0.0509391330794297,0.0779544341009309,0.80296329057939,0.569990850869167,0.834002677376171,"Adult","Race","Valid",44.68,"",-0.104111483518271,0.603141919758867,0.904468282262275,0.129656738196464,0.023372121648678,0.0519524742773151,18,"-+pr1+roc2+-"
"rw1","pr2","roc3","-",-0.0324432169470567,0.911621768960749,0.0852276064699288,0.0509391330794297,0.0779544341009309,0.80296329057939,0.569990850869167,0.834002677376171,"Adult","Race","Valid",48.06,"",-0.104111483518271,0.603141919758867,0.904468282262275,0.129656738196464,0.023372121648678,0.0519524742773151,18,"rw1+pr2+roc3+-"
"-","gsr_eo1","eop2","-",-0.0353563990758517,0.811980324805108,0.139143414507237,0.0361802490758196,0.0689882410583047,0.837793011941619,0.733695652173913,0.542168674698795,"Adult","Race","Valid",16.06,"",-0.104111483518271,0.603141919758867,0.902567330750149,0.129656738196464,0.023372121648678,0.0519524742773151,7,"-+gsr_eo1+eop2+-"
"rw1","pr2","eop3","-",-0.0425274966646058,0.765011417577675,0.144637719994378,0.0185268165418583,0.0385864772170506,0.834807607253428,0.735944409349337,0.519857206604195,"Adult","Race","Valid",30.06,"",-0.104111483518271,0.603141919758867,0.904468282262275,0.129656738196464,0.023372121648678,0.0519524742773151,1,"rw1+pr2+eop3+-"
"-","pr1","eop2","-",-0.0425274966646058,0.765011417577675,0.146125515039701,0.0155716494844524,0.032016168544831,0.8328173374613,0.730259001895136,0.515841142347166,"Adult","Race","Valid",27.89,"",-0.104111483518271,0.603141919758867,0.904468282262275,0.129656738196464,0.023372121648678,0.0519524742773151,4,"-+pr1+eop2+-"
"rw1","gsr_eo2","eop3","-",-0.0353563990758517,0.811980324805108,0.13979895032051,0.0368116681149819,0.0709480646741794,0.836908447589562,0.731280193236715,0.540383757251227,"Adult","Race","Valid",17.52,"",-0.104111483518271,0.603141919758867,0.902567330750149,0.129656738196464,0.023372121648678,0.0519524742773151,12,"rw1+gsr_eo2+eop3+-"
"-","gsr_eo1","roc2","-",-0.04616958445869,0.874053517851119,0.084804426844966,0.0428289792316634,0.0779544341009309,0.805395842547545,0.573840957936752,0.834002677376171,"Adult","Race","Valid",32.6,"",-0.104111483518271,0.603141919758867,0.902567330750149,0.129656738196464,0.023372121648678,0.0519524742773151,8,"-+gsr_eo1+roc2+-"
"rw1","gsr_eo2","roc3","-",-0.04616958445869,0.874053517851119,0.084804426844966,0.0428289792316634,0.0779544341009309,0.805395842547545,0.573840957936752,0.834002677376171,"Adult","Race","Valid",36.52,"",-0.104111483518271,0.603141919758867,0.902567330750149,0.129656738196464,0.023372121648678,0.0519524742773151,8,"rw1+gsr_eo2+roc3+-"
"di1","gsr_eo2","roc3","-",-0.0576201555432625,0.845312349852801,0.0839028442508605,0.0314496516412926,0.0665850073493386,0.803737284387439,0.570691747572815,0.839357429718876,"Adult","Race","Valid",43.07,"",-0.104111483518271,0.603141919758867,0.904576313977553,0.129656738196464,0.023372121648678,0.0519524742773151,20,"di1+gsr_eo2+roc3+-"
"-","-","cpp1","Logistic Regression",-0.0636250854186326,0.699269037328699,0.130437694795578,-0.00382712647162275,0.00695247427731505,0.838788146837682,0.713584288052373,0.583668005354752,"Adult","Race","Valid",0.29,"",-0.104111483518271,0.603141919758867,0.876997922603246,0.129656738196464,0.023372121648678,0.0519524742773151,59,"-+-+cpp1+Logistic Regression"
"-","-","-","Random Forest",-0.089828267872832,0.606495538259779,0.121273114279318,-0.0163907446817052,0.0102057814796669,0.844095532950022,0.712967708867248,0.620705042391789,"Adult","Race","Valid",2.62,"",-0.104111483518271,0.603141919758867,0.894508243502043,0.121273114279318,-0.0163907446817052,0.0102057814796669,17,"-+-+-+Random Forest"
"di1","gsr_eo2","eop3","-",-0.0385079398652826,0.811102287419988,0.133285242605242,0.0399100641045845,0.0800808427241548,0.837240159221583,0.714206128133705,0.57206604194556,"Adult","Race","Valid",25.66,"",-0.104111483518271,0.603141919758867,0.904576313977553,0.129656738196464,0.023372121648678,0.0519524742773151,3,"di1+gsr_eo2+eop3+-"
"rw1","-","-","Random Forest",-0.0875744362370245,0.60843154372181,0.122158283154484,-0.0212058373527942,-0.00489465948064671,0.8453118089341,0.720188284518828,0.614457831325301,"Adult","Race","Valid",2.98,"",-0.104111483518271,0.603141919758867,0.893918594986869,0.121273114279318,-0.0163907446817052,0.0102057814796669,6,"rw1+-+-+Random Forest"
