Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
-,-,cpp1,Logistic Regression,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{0.93},,1.0,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,1.0,4.0
-,-,cpp1,Naive Bayes,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{0.33},,1.0,0.6240296610700021,-0.09771362793270641,0.0945244623995769,-0.12315440959591817,-0.130780922052544,3,1.0,4.0
-,-,cpp1,Random Forest,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{3.07},,1.0,0.6240296610700021,-0.09771362793270641,0.11944116628273818,-0.04606537462250091,-0.03685797688837422,3,1.0,4.0
-,-,roc1,Logistic Regression,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{27.1},,1.0,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,1.0,17.0
-,-,roc1,Naive Bayes,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{26.2},,1.0,0.6240296610700021,-0.09771362793270641,0.0945244623995769,-0.12315440959591817,-0.130780922052544,3,1.0,21.0
-,-,roc1,Random Forest,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{30.42},,1.0,0.6240296610700021,-0.09771362793270641,0.11944116628273818,-0.04606537462250091,-0.03685797688837422,3,1.0,17.0
-,pr1,roc2,-,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{141.57},,1.0,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,1.0,11.0
di1,-,cpp2,Logistic Regression,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{6.52},,1.0,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,1.0,4.0
di1,-,cpp2,Naive Bayes,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{6.48},,1.0,0.6240296610700021,-0.09771362793270641,0.0945244623995769,-0.12315440959591817,-0.130780922052544,3,1.0,1.0
di1,-,cpp2,Random Forest,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{12.31},,1.0,0.6240296610700021,-0.09771362793270641,0.11944116628273818,-0.04606537462250091,-0.03685797688837422,3,1.0,4.0
di1,-,roc2,Logistic Regression,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{33.57},,1.0,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,1.0,13.0
di1,-,roc2,Naive Bayes,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{31.52},,1.0,0.6240296610700021,-0.09771362793270641,0.0945244623995769,-0.12315440959591817,-0.130780922052544,3,1.0,13.0
di1,-,roc2,Random Forest,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{35.7},,1.0,0.6240296610700021,-0.09771362793270641,0.11944116628273818,-0.04606537462250091,-0.03685797688837422,3,1.0,13.0
di1,pr2,roc3,-,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{142.64},,1.0,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,1.0,1.0
rw1,-,cpp2,Logistic Regression,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{1.15},,1.0,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,1.0,4.0
rw1,-,cpp2,Naive Bayes,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{0.33},,1.0,0.6240296610700021,-0.09771362793270641,0.0945244623995769,-0.12315440959591817,-0.130780922052544,3,1.0,11.0
rw1,-,cpp2,Random Forest,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{3.97},,1.0,0.6240296610700021,-0.09771362793270641,0.11944116628273818,-0.04606537462250091,-0.03685797688837422,3,1.0,1.0
rw1,-,roc2,Logistic Regression,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{28.48},,1.0,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,1.0,17.0
rw1,-,roc2,Naive Bayes,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{26.58},,1.0,0.6240296610700021,-0.09771362793270641,0.0945244623995769,-0.12315440959591817,-0.130780922052544,3,1.0,17.0
rw1,-,roc2,Random Forest,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{29.74},,1.0,0.6240296610700021,-0.09771362793270641,0.11944116628273818,-0.04606537462250091,-0.03685797688837422,3,1.0,13.0
rw1,pr2,roc3,-,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{161.38},,1.0,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,1.0,4.0
-,-,cpp1,Logistic Regression,-0.19595914718965035,0.3679773460022858,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{1.48},,1.0,0.3679773460022858,-0.19595914718965035,0.13325527745151644,-0.04645117754226176,-0.03204244415904911,3,22.0,4.0
