Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
-,-,cpp1,Logistic Regression,-0.10747045153345433,0.5899387783582407,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{1.73},,1.0,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,3,1.0,4.0
-,-,cpp1,Naive Bayes,-0.10747045153345433,0.5899387783582407,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{0.12},,1.0,0.5899387783582407,-0.10747045153345433,0.09476150603363609,-0.10915473518884747,-0.11871124715485448,3,1.0,4.0
-,-,cpp1,Random Forest,-0.10747045153345433,0.5899387783582407,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{3.53},,1.0,0.5899387783582407,-0.10747045153345433,0.12157310419134698,-0.04246530535910843,-0.045122046935091364,3,1.0,4.0
-,-,roc1,Logistic Regression,-0.10747045153345433,0.5899387783582407,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{41.79},,1.0,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,3,1.0,1.0
-,-,roc1,Naive Bayes,-0.10747045153345433,0.5899387783582407,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{30.5},,1.0,0.5899387783582407,-0.10747045153345433,0.09476150603363609,-0.10915473518884747,-0.11871124715485448,3,1.0,4.0
-,-,roc1,Random Forest,-0.10747045153345433,0.5899387783582407,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{31.43},,1.0,0.5899387783582407,-0.10747045153345433,0.12157310419134698,-0.04246530535910843,-0.045122046935091364,3,1.0,1.0
-,pr1,roc2,-,-0.10747045153345433,0.5899387783582407,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{187.66},,1.0,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,3,1.0,4.0
di1,-,cpp2,Logistic Regression,-0.10747045153345433,0.5899387783582407,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{6.49},,1.0,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,3,1.0,4.0
di1,-,cpp2,Naive Bayes,-0.10747045153345433,0.5899387783582407,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{6.81},,1.0,0.5899387783582407,-0.10747045153345433,0.09476150603363609,-0.10915473518884747,-0.11871124715485448,3,1.0,4.0
di1,-,cpp2,Random Forest,-0.10747045153345433,0.5899387783582407,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{11.67},,1.0,0.5899387783582407,-0.10747045153345433,0.12157310419134698,-0.04246530535910843,-0.045122046935091364,3,1.0,4.0
