Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
-,-,cpp1,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8480872705830323,0.8436657786699654,0.8480872705830323,Adult,Race,Valid,{5.72},0.7802975768899756,0.629841682713473,-0.09825523584016566,0.11701417470753812,-0.05481867218468504,-0.06307463466602348,3,1.0,1.0
rw1,-,cpp2,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8473501879560699,0.8426315041221693,0.8473501879560699,Adult,Race,Valid,{3.61},0.7778591128250685,0.629841682713473,-0.09825523584016566,0.11701417470753812,-0.05481867218468504,-0.06307463466602348,3,2.0,2.0
rw1,-,eop2,Random Forest,-0.050540918547729796,0.8042758373871848,0.008416018967848531,0.03790644747354914,0.027184466019417486,0.8468342301171962,0.8422051878470022,0.8468342301171962,Adult,Race,Valid,{3.42},0.7778063693870448,0.629841682713473,-0.09825523584016566,0.11701417470753812,-0.05481867218468504,-0.06307463466602348,4,3.0,9.0
-,-,eop1,Random Forest,-0.045480207769955455,0.8196132542929978,0.01365123940300691,0.04877167921619899,0.05016181229773464,0.8467605218544999,0.8420139407457444,0.8467605218544999,Adult,Race,Valid,{3.16},0.7770759990371978,0.629841682713473,-0.09825523584016566,0.11701417470753812,-0.05481867218468504,-0.06307463466602348,4,4.0,10.0
-,-,cpp1,Random Forest,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8495614358369573,0.8450649137226649,0.8495614358369573,Adult,Sex,Valid,{75.04},0.7814769230502822,0.3637327995448817,-0.20160953504822413,0.11753228729881901,-0.07878871509081556,-0.07200467126324406,3,5.0,1.0
di1,-,cpp2,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8442544409228274,0.839802881378935,0.8442544409228274,Adult,Race,Valid,{114.96},0.7758884707895152,0.629841682713473,-0.09825523584016566,0.11701417470753812,-0.05481867218468504,-0.06307463466602348,3,6.0,5.0
rw1,-,cpp2,Random Forest,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8472764796933736,0.8424440223923103,0.8472764796933736,Adult,Sex,Valid,{3.54},0.7771287424752215,0.3637327995448817,-0.20160953504822413,0.11753228729881901,-0.07878871509081556,-0.07200467126324406,3,7.0,2.0
di1,-,eop2,Random Forest,-0.037991458377991005,0.8460102482666458,0.018482337251932116,0.06021273676649802,0.07055016181229778,0.8424117343554213,0.8383516571526098,0.8424117343554213,Adult,Race,Valid,{37.82},0.7756305979475226,0.629841682713473,-0.09825523584016566,0.11701417470753812,-0.05481867218468504,-0.06307463466602348,2,8.0,14.0
di1,mfc_fdr2,eop3,-,-0.05003058352764153,0.7960048956759107,0.01902339099866949,0.05485880767337322,0.07605177993527512,0.84322252524508,0.8360917401484186,0.84322252524508,Adult,Race,Valid,{2867.59},0.7514567867456534,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,3,9.0,40.0
di1,mfc_sr2,eop3,-,-0.05003058352764153,0.7960048956759107,0.01902339099866949,0.05485880767337322,0.07605177993527512,0.84322252524508,0.8360917401484186,0.84322252524508,Adult,Race,Valid,{4154.05},0.7514567867456534,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,3,9.0,40.0
di1,-,cpp2,Random Forest,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8448441070243974,0.8397801508398219,0.8448441070243974,Adult,Sex,Valid,{104.2},0.7732659169738918,0.3637327995448817,-0.20160953504822413,0.11753228729881901,-0.07878871509081556,-0.07200467126324406,3,11.0,5.0
-,-,cpp1,Naive Bayes,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8181617159283555,0.8408505443012178,0.8181617159283555,Adult,Race,Valid,{0.32},0.8065271988746526,0.629841682713473,-0.09825523584016566,0.09427432229849471,-0.11429933521939963,-0.11029769442601867,3,12.0,7.0
rw1,-,cpp2,Naive Bayes,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8181617159283555,0.8408505443012178,0.8181617159283555,Adult,Race,Valid,{0.46},0.8065271988746526,0.629841682713473,-0.09825523584016566,0.09427432229849471,-0.11429933521939963,-0.11029769442601867,3,12.0,7.0
rw1,-,eop2,Random Forest,-0.10617913717499652,0.6356847568786047,0.025785936056667045,0.07967161554749316,0.0802065404475043,0.8475713127441586,0.8429582569609364,0.8475713127441586,Adult,Sex,Valid,{44.26},0.7786879568332119,0.3637327995448817,-0.20160953504822413,0.11753228729881901,-0.07878871509081556,-0.07200467126324406,2,14.0,9.0
-,-,-,Random Forest,-0.10408537411588983,0.5617873996082916,0.11701417470753812,-0.05481867218468504,-0.06307463466602348,0.8481609788457286,0.8435576081964141,0.8481609788457286,Adult,Race,Valid,{17.44},0.7793737658324111,0.629841682713473,-0.09825523584016566,0.11701417470753812,-0.05481867218468504,-0.06307463466602348,1,15.0,15.0
-,-,cpp1,Logistic Regression,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8336404510945677,0.8275367997918285,0.8336404510945677,Adult,Race,Valid,{49.68},0.7560514400762391,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,3,16.0,3.0
di1,-,cpp2,Naive Bayes,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.7815287093683202,0.8421287332107313,0.7815287093683202,Adult,Race,Valid,{99.76},0.809301835615948,0.629841682713473,-0.09825523584016566,0.09427432229849471,-0.11429933521939963,-0.11029769442601867,3,16.0,11.0
rw1,-,cpp2,Logistic Regression,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8336404510945677,0.8275367997918285,0.8336404510945677,Adult,Race,Valid,{27.89},0.7560514400762391,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,3,16.0,3.0
rw1,-,-,Random Forest,-0.10045468968089385,0.5761533009875732,0.11764540838490924,-0.04794423239689935,-0.05084524312046479,0.8472764796933736,0.8426323914554504,0.8472764796933736,Adult,Race,Valid,{21.31},0.7781990951506054,0.629841682713473,-0.09825523584016566,0.11701417470753812,-0.05481867218468504,-0.06307463466602348,3,19.0,16.0
-,-,eop1,Random Forest,-0.10944221417924985,0.6289326110963895,0.023395702166683845,0.07429233893436023,0.06919104991394143,0.8470553549052848,0.8423227224339568,0.8470553549052848,Adult,Sex,Valid,{61.98},0.7774675559311331,0.3637327995448817,-0.20160953504822413,0.11753228729881901,-0.07878871509081556,-0.07200467126324406,4,20.0,10.0
di1,-,eop2,Random Forest,-0.09494135784469501,0.6707933552495599,0.02883750097295308,0.08911576418727322,0.08984509466437174,0.8466131053291074,0.8420549569121377,0.8466131053291074,Adult,Sex,Valid,{9.95},0.777950573265614,0.3637327995448817,-0.20160953504822413,0.11753228729881901,-0.07878871509081556,-0.07200467126324406,2,21.0,14.0
di1,mfc_fdr2,cpp3,-,-0.06947763941374183,0.7064286023900659,0.025002235221836144,0.05420711974110032,0.10841423948220064,0.84322252524508,0.8360917401484186,0.84322252524508,Adult,Race,Valid,{1884.16},0.7514567867456534,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,2,22.0,26.0
di1,mfc_sr2,cpp3,-,-0.06861860668459485,0.7090021127812864,0.02575826459178513,0.05582524271844658,0.11165048543689315,0.84322252524508,0.8360917401484186,0.84322252524508,Adult,Race,Valid,{3895.75},0.7514567867456534,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,2,23.0,27.0
di1,-,-,Random Forest,-0.10421168671656192,0.5726917065630514,0.11746492845704488,-0.046096446070781186,-0.04017166174194453,0.8438858996093462,0.8399412695111711,0.8438858996093462,Adult,Race,Valid,{21.14},0.777880296783213,0.629841682713473,-0.09825523584016566,0.11701417470753812,-0.05481867218468504,-0.06307463466602348,3,24.0,24.0
di1,-,eop2,Naive Bayes,0.03472080053643606,1.138990659919069,0.019780416796912448,0.09989871599318853,0.0588996763754045,0.7815287093683202,0.8421287332107313,0.7815287093683202,Adult,Race,Valid,{6.78},0.809301835615948,0.629841682713473,-0.09825523584016566,0.09427432229849471,-0.11429933521939963,-0.11029769442601867,4,25.0,21.0
-,mfc_fdr1,eop2,-,-0.05524164733397008,0.7723653038531874,0.020850954078834173,0.05503736613159659,0.08576051779935279,0.8351146163484927,0.8273849036194658,0.8351146163484927,Adult,Race,Valid,{6111.99},0.7256067299183869,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,2,26.0,32.0
-,mfc_sr1,eop2,-,-0.05524164733397008,0.7723653038531874,0.020850954078834173,0.05503736613159659,0.08576051779935279,0.8351146163484927,0.8273849036194658,0.8351146163484927,Adult,Race,Valid,{5225.22},0.7256067299183869,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,2,26.0,32.0
rw1,mfc_sr2,eop3,-,-0.05524164733397008,0.7723653038531874,0.020850954078834173,0.05503736613159659,0.08576051779935279,0.8351146163484927,0.8273849036194658,0.8351146163484927,Adult,Race,Valid,{3326.81},0.7256067299183869,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,2,26.0,30.0
-,-,cpp1,Naive Bayes,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8181617159283555,0.8408505443012178,0.8181617159283555,Adult,Sex,Valid,{0.32},0.8065271988746526,0.3637327995448817,-0.20160953504822413,0.09427432229849471,-0.21623202452456575,-0.22712388013592832,3,29.0,7.0
rw1,-,cpp2,Naive Bayes,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8181617159283555,0.8408505443012178,0.8181617159283555,Adult,Sex,Valid,{0.45},0.8065271988746526,0.3637327995448817,-0.20160953504822413,0.09427432229849471,-0.21623202452456575,-0.22712388013592832,3,29.0,7.0
rw1,mfc_fdr2,eop3,-,-0.05524164733397008,0.7723653038531874,0.02085095407883418,0.05503736613159659,0.08576051779935279,0.8351146163484927,0.8273849036194658,0.8351146163484927,Adult,Race,Valid,{2809.82},0.7256067299183869,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,2,31.0,31.0
-,-,eop1,Naive Bayes,0.016476390471141522,1.0686476955886035,0.02691915693201716,0.10151240022920044,0.09579288025889965,0.8181617159283555,0.8408505443012178,0.8181617159283555,Adult,Race,Valid,{0.08},0.8065271988746526,0.629841682713473,-0.09825523584016566,0.09427432229849471,-0.11429933521939963,-0.11029769442601867,4,32.0,22.0
rw1,-,eop2,Naive Bayes,0.016476390471141522,1.0686476955886035,0.02691915693201716,0.10151240022920044,0.09579288025889965,0.8181617159283555,0.8408505443012178,0.8181617159283555,Adult,Race,Valid,{0.48},0.8065271988746526,0.629841682713473,-0.09825523584016566,0.09427432229849471,-0.11429933521939963,-0.11029769442601867,4,32.0,23.0
-,-,cpp1,Logistic Regression,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8336404510945677,0.8275367997918285,0.8336404510945677,Adult,Sex,Valid,{7.17},0.7560514400762391,0.3637327995448817,-0.20160953504822413,0.12992452300152724,-0.138351556635548,-0.16719116533759726,3,34.0,3.0
rw1,-,cpp2,Logistic Regression,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8336404510945677,0.8275367997918285,0.8336404510945677,Adult,Sex,Valid,{24.29},0.7560514400762391,0.3637327995448817,-0.20160953504822413,0.12992452300152724,-0.138351556635548,-0.16719116533759726,3,34.0,3.0
di1,-,cpp2,Naive Bayes,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8208152133854205,0.8402226876403867,0.8208152133854205,Adult,Sex,Valid,{43.65},0.804504837965809,0.3637327995448817,-0.20160953504822413,0.09427432229849471,-0.21623202452456575,-0.22712388013592832,3,36.0,11.0
-,-,-,Random Forest,-0.19182843693255686,0.3259167842860555,0.11753228729881901,-0.07878871509081556,-0.07200467126324406,0.8476450210068549,0.8429746056132266,0.8476450210068549,Adult,Sex,Valid,{3.32},0.7784452792963463,0.3637327995448817,-0.20160953504822413,0.11753228729881901,-0.07878871509081556,-0.07200467126324406,2,37.0,15.0
di1,mfc_fdr2,-,-,-0.0911835142788099,0.5515558556317591,0.133682299538517,-0.04910368952220669,-0.06006954913666607,0.84322252524508,0.8360917401484186,0.84322252524508,Adult,Race,Valid,{4441.99},0.7514567867456534,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,3,38.0,44.0
di1,mfc_sr2,-,-,-0.0911835142788099,0.5515558556317591,0.133682299538517,-0.04910368952220669,-0.06006954913666607,0.84322252524508,0.8360917401484186,0.84322252524508,Adult,Race,Valid,{5454.47},0.7514567867456534,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,3,38.0,44.0
