Pre,In_p,Post,Classifier,Ovr_Rank,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Perf_Rank,Fair_Rank,Rank
rw1,-,cpp2,Random Forest,1.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.848603228421906,0.8440719334803515,0.848603228421906,Adult,Sex,Valid,{3.28},0.780253015539328,0.3637327995448817,-0.20160953504822413,0.11693958861291773,-0.085663302374708,-0.0840250265644149,3,7.25,37.0,1.0
-,-,cpp1,Random Forest,2.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8485295201592098,0.8438164343989921,0.8485295201592098,Adult,Sex,Valid,{111.53},0.779133426034796,0.3637327995448817,-0.20160953504822413,0.11693958861291773,-0.085663302374708,-0.0840250265644149,3,10.75,37.0,2.0
-,-,cpp1,Random Forest,3.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8485295201592098,0.8439345466264839,0.8485295201592098,Adult,Race,Valid,{81.45},0.7798145595554947,0.629841682713473,-0.09825523584016566,0.11627240978262116,-0.051051743088362356,-0.049812056523749204,3,9.25,39.0,3.0
-,-,eop1,Random Forest,4.0,-0.1123067048397085,0.6185150537345507,0.02338233312669735,0.07322589432756722,0.0709122203098107,0.8487506449472986,0.8439906753200042,0.8487506449472986,Adult,Sex,Valid,{3.22},0.7790865269448981,0.3637327995448817,-0.20160953504822413,0.11693958861291773,-0.085663302374708,-0.0840250265644149,4,8.0,40.5,4.0
rw1,-,eop2,Random Forest,5.0,-0.1058529286562431,0.6329577723447668,0.027591385336953534,0.08294926881214476,0.08984509466437174,0.8483083953711211,0.8436775170561956,0.8483083953711211,Adult,Sex,Valid,{3.23},0.7793749347020363,0.3637327995448817,-0.20160953504822413,0.11693958861291773,-0.085663302374708,-0.0840250265644149,3,11.75,37.5,5.0
rw1,-,-,Random Forest,6.0,-0.10002517331632038,0.5771993309457932,0.11679556846129706,-0.04030876253831121,-0.03253532734326314,0.8486769366846023,0.8440547550943064,0.8486769366846023,Adult,Race,Valid,{78.51},0.7798157284251199,0.629841682713473,-0.09825523584016566,0.11627240978262116,-0.051051743088362356,-0.049812056523749204,3,6.75,46.0,6.0
rw1,-,cpp2,Random Forest,7.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8480872705830323,0.8434034583426999,0.8480872705830323,Adult,Race,Valid,{3.75},0.7788380050599069,0.629841682713473,-0.09825523584016566,0.11627240978262116,-0.051051743088362356,-0.049812056523749204,3,14.0,39.0,7.0
rw1,-,-,Random Forest,8.0,-0.19431983093888944,0.3176850976454469,0.11703488638469658,-0.08715997294168085,-0.08925371816938088,0.8486769366846023,0.8439875708079618,0.8486769366846023,Adult,Sex,Valid,{114.72},0.779426509270435,0.3637327995448817,-0.20160953504822413,0.11693958861291773,-0.085663302374708,-0.0840250265644149,2,8.0,47.0,8.0
di1,-,cpp2,Random Forest,9.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8465393970664111,0.8418260829693682,0.8465393970664111,Adult,Sex,Valid,{27.87},0.7770255933384245,0.3637327995448817,-0.20160953504822413,0.11693958861291773,-0.085663302374708,-0.0840250265644149,3,18.75,37.0,9.0
-,-,-,Random Forest,10.0,-0.10666626346542724,0.5547859544635932,0.11627240978262116,-0.051051743088362356,-0.049812056523749204,0.8482346871084249,0.8438375513748668,0.8482346871084249,Adult,Race,Valid,{3.27},0.7805906601256145,0.629841682713473,-0.09825523584016566,0.11627240978262116,-0.051051743088362356,-0.049812056523749204,1,10.25,48.0,10.0
