Pre,In_p,Post,Classifier,Ovr_Rank,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Perf_Rank,Fair_Rank,Rank
-,-,cpp1,Random Forest,1.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8487506449472986,0.8443310844262949,0.8487506449472986,Adult,Sex,Valid,{3.18},0.7810326227183232,0.3637327995448817,-0.20160953504822413,0.11714019589253007,-0.08296785104994361,-0.0819596220893718,3,9.0,44.5,1.0
-,-,roc1,Random Forest,2.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8491191862607799,0.8445684292256351,0.8491191862607799,Adult,Race,Valid,{873.43},0.7806949781320366,0.629841682713473,-0.09825523584016566,0.11665587682783216,-0.043602918454684,-0.04185209752959851,3,8.0,46.5,2.0
rw1,-,roc2,Random Forest,2.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8490454779980836,0.8442676906924155,0.8490454779980836,Adult,Sex,Valid,{68.33},0.7792834742614909,0.3637327995448817,-0.20160953504822413,0.11714019589253007,-0.08296785104994361,-0.0819596220893718,3,10.0,44.5,2.0
di1,-,cpp2,Random Forest,4.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.848603228421906,0.8438524020882314,0.848603228421906,Adult,Sex,Valid,{9.85},0.7789880532866017,0.3637327995448817,-0.20160953504822413,0.11714019589253007,-0.08296785104994361,-0.0819596220893718,3,12.5,44.5,4.0
rw1,-,eop2,Random Forest,5.0,-0.10859713674415136,0.629881580048186,0.024374107886128475,0.07631657152763159,0.0740103270223752,0.8481609788457286,0.8435061473668874,0.8481609788457286,Adult,Sex,Valid,{4.59},0.7790818514663975,0.3637327995448817,-0.20160953504822413,0.11714019589253007,-0.08296785104994361,-0.0819596220893718,4,16.0,43.5,5.0
-,-,roc1,Random Forest,6.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8481609788457286,0.8435232308822934,0.8481609788457286,Adult,Sex,Valid,{36.92},0.7791791562550688,0.3637327995448817,-0.20160953504822413,0.11714019589253007,-0.08296785104994361,-0.0819596220893718,3,15.5,44.5,6.0
rw1,-,cpp2,Random Forest,7.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8474976044814624,0.843050698195641,0.8474976044814624,Adult,Sex,Valid,{12.15},0.7795144631021049,0.3637327995448817,-0.20160953504822413,0.11714019589253007,-0.08296785104994361,-0.0819596220893718,3,17.25,44.5,7.0
rw1,-,roc2,Random Forest,8.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8483821036338174,0.8435631837490608,0.8483821036338174,Adult,Race,Valid,{476.64},0.7783538188558008,0.629841682713473,-0.09825523584016566,0.11665587682783216,-0.043602918454684,-0.04185209752959851,3,15.75,46.5,8.0
rw1,-,cpp2,Random Forest,9.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8480135623203361,0.8433861400780078,0.8480135623203361,Adult,Race,Valid,{3.57},0.7790806825967724,0.629841682713473,-0.09825523584016566,0.11665587682783216,-0.043602918454684,-0.04185209752959851,3,17.5,46.5,9.0
-,-,-,Random Forest,10.0,-0.09951733600302509,0.5765784691479477,0.11665587682783216,-0.043602918454684,-0.04185209752959851,0.8497088523623498,0.844972023648744,0.8497088523623498,Adult,Race,Valid,{3.15},0.780213129667181,0.629841682713473,-0.09825523584016566,0.11665587682783216,-0.043602918454684,-0.04185209752959851,1,7.5,61.0,10.0
-,-,cpp1,Random Forest,11.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8469079383798924,0.8422380869516967,0.8469079383798924,Adult,Race,Valid,{3.27},0.7776609966388505,0.629841682713473,-0.09825523584016566,0.11665587682783216,-0.043602918454684,-0.04185209752959851,3,23.0,46.5,11.0
di1,-,roc2,Random Forest,12.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8460971474902337,0.8413632244476613,0.8460971474902337,Adult,Sex,Valid,{43.89},0.7764382579975215,0.3637327995448817,-0.20160953504822413,0.11714019589253007,-0.08296785104994361,-0.0819596220893718,3,25.5,44.5,12.0
rw1,-,eop2,Random Forest,13.0,-0.05089590512567793,0.8019788664545399,0.009373343932525752,0.03923665754707081,0.03171521035598701,0.8483083953711211,0.8436946289639211,0.8483083953711211,Adult,Race,Valid,{3.09},0.7794722394907075,0.629841682713473,-0.09825523584016566,0.11665587682783216,-0.043602918454684,-0.04185209752959851,4,13.75,59.0,13.0
-,-,eop1,Random Forest,14.0,-0.11215991596535307,0.6234778068215463,0.021387423505258588,0.06977364751916193,0.059896729776247826,0.8474976044814624,0.8428724273023681,0.8474976044814624,Adult,Sex,Valid,{3.2},0.7785414152153924,0.3637327995448817,-0.20160953504822413,0.11714019589253007,-0.08296785104994361,-0.0819596220893718,4,19.75,55.0,14.0
di1,-,cpp2,Random Forest,15.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8437384830839537,0.8395579315601475,0.8437384830839537,Adult,Race,Valid,{125.73},0.7766141656608616,0.629841682713473,-0.09825523584016566,0.11665587682783216,-0.043602918454684,-0.04185209752959851,3,32.5,46.5,15.0
rw1,-,-,Random Forest,16.0,-0.10158280571507428,0.5706153081593393,0.11767484328743633,-0.04300269606730078,-0.03648113529920205,0.8475713127441586,0.8428716545782536,0.8475713127441586,Adult,Race,Valid,{3.3},0.7782014328898555,0.629841682713473,-0.09825523584016566,0.11665587682783216,-0.043602918454684,-0.04185209752959851,3,20.0,61.0,16.0
-,-,-,Random Forest,17.0,-0.1923014343256658,0.32321706337900036,0.11714019589253007,-0.08296785104994361,-0.0819596220893718,0.8485295201592098,0.8438330958738761,0.8485295201592098,Adult,Sex,Valid,{3.21},0.7792307308234673,0.3637327995448817,-0.20160953504822413,0.11714019589253007,-0.08296785104994361,-0.0819596220893718,2,12.25,69.0,17.0
-,-,eop1,Random Forest,18.0,-0.05041460594705771,0.7998375075614943,0.013594269905432615,0.0461399091268592,0.05113268608414234,0.8474238962187661,0.8427172847074414,0.8474238962187661,Adult,Race,Valid,{37.77},0.7780056544428879,0.629841682713473,-0.09825523584016566,0.11665587682783216,-0.043602918454684,-0.04185209752959851,2,22.0,60.0,18.0
rw1,-,-,Random Forest,19.0,-0.18942878597269647,0.32868839976896747,0.11755892527918442,-0.0784709682900509,-0.07491674220126487,0.8485295201592098,0.8437179554922299,0.8485295201592098,Adult,Sex,Valid,{20.05},0.7785495973027684,0.3637327995448817,-0.20160953504822413,0.11714019589253007,-0.08296785104994361,-0.0819596220893718,4,13.75,69.5,19.0
di1,-,roc2,Random Forest,20.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8408638608388,0.8368707764726665,0.8408638608388,Adult,Race,Valid,{1156.36},0.7741101005920542,0.629841682713473,-0.09825523584016566,0.11665587682783216,-0.043602918454684,-0.04185209752959851,3,40.0,46.5,20.0
di1,mfc_fdr2,roc3,-,21.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.84322252524508,0.8360917401484186,0.84322252524508,Adult,Race,Valid,{5163.06},0.7514567867456534,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,3,40.5,46.5,21.0
di1,mfc_sr2,roc3,-,21.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.84322252524508,0.8360917401484186,0.84322252524508,Adult,Race,Valid,{2839.0},0.7514567867456534,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,3,40.5,46.5,21.0
di1,-,-,Random Forest,23.0,-0.20409274656662807,0.2968349114908508,0.11868111687631946,-0.09561204998623282,-0.09310547345765141,0.8450652318124862,0.8404852992158516,0.8450652318124862,Adult,Sex,Valid,{46.36},0.7761381615441317,0.3637327995448817,-0.20160953504822413,0.11714019589253007,-0.08296785104994361,-0.0819596220893718,1,30.5,57.0,23.0
di1,-,eop2,Random Forest,24.0,-0.09117877714552769,0.6781182022063158,0.03225228725170253,0.0964344531259674,0.10602409638554222,0.8439596078720425,0.8394568063062867,0.8439596078720425,Adult,Sex,Valid,{146.72},0.7753023043182373,0.3637327995448817,-0.20160953504822413,0.11714019589253007,-0.08296785104994361,-0.0819596220893718,2,33.25,57.5,24.0
