Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
rw1,-,cpp2,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8485295201592098,0.8439862207286597,0.8485295201592098,Adult,Race,Valid,{3.76},0.7801064739215084,0.629841682713473,-0.09825523584016566,0.11649412713845067,-0.04676978689792251,-0.04689943516452599,3,1.0,1.0
-,-,cpp1,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8479398540576398,0.8433176521992886,0.8479398540576398,Adult,Race,Valid,{7.2},0.7790314457676242,0.629841682713473,-0.09825523584016566,0.11649412713845067,-0.04676978689792251,-0.04689943516452599,3,2.0,2.0
rw1,-,roc2,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8478661457949436,0.8431974914006076,0.8478661457949436,Adult,Race,Valid,{64.73},0.7786902945724622,0.629841682713473,-0.09825523584016566,0.11649412713845067,-0.04676978689792251,-0.04689943516452599,3,3.0,3.0
-,-,roc1,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8476450210068549,0.843009204985691,0.8476450210068549,Adult,Race,Valid,{38.34},0.7786398888736888,0.629841682713473,-0.09825523584016566,0.11649412713845067,-0.04676978689792251,-0.04689943516452599,3,4.0,4.0
di1,-,cpp2,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8451389400751824,0.8411436423369624,0.8451389400751824,Adult,Race,Valid,{10.51},0.7791065420334176,0.629841682713473,-0.09825523584016566,0.11649412713845067,-0.04676978689792251,-0.04689943516452599,3,5.0,10.0
di1,-,roc2,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8439596078720425,0.8398182273416323,0.8439596078720425,Adult,Race,Valid,{322.25},0.77705379051432,0.629841682713473,-0.09825523584016566,0.11649412713845067,-0.04676978689792251,-0.04689943516452599,3,6.0,5.0
-,-,roc1,Random Forest,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8492666027861723,0.8444918142080751,0.8492666027861723,Adult,Sex,Valid,{53.69},0.7795284895376068,0.3637327995448817,-0.20160953504822413,0.11675841487010066,-0.07872496868533252,-0.07475854389663472,3,7.0,4.0
rw1,-,cpp2,Random Forest,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8486769366846023,0.8443166889773123,0.8486769366846023,Adult,Sex,Valid,{13.28},0.7812753002551888,0.3637327995448817,-0.20160953504822413,0.11675841487010066,-0.07872496868533252,-0.07475854389663472,3,8.0,1.0
-,-,cpp1,Random Forest,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8489717697353873,0.844380258084218,0.8489717697353873,Adult,Sex,Valid,{3.21},0.7803045901077265,0.3637327995448817,-0.20160953504822413,0.11675841487010066,-0.07872496868533252,-0.07475854389663472,3,9.0,2.0
rw1,-,roc2,Random Forest,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8485295201592098,0.8439517012535381,0.8485295201592098,Adult,Sex,Valid,{53.26},0.7799118643441659,0.3637327995448817,-0.20160953504822413,0.11675841487010066,-0.07872496868533252,-0.07475854389663472,3,10.0,3.0
