Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
-,-,cpp1,Random Forest,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,0.8460858027421495,0.8411404978047605,0.8460858027421495,Adult,Race,Valid,{60.72},0.7728836866074598,0.6240296610700021,-0.09771362793270641,0.11991639752240303,-0.06621389139981698,-0.07057730814696861,3,1.0,4.0
-,-,roc1,Random Forest,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,0.8455329500221141,0.840378425906692,0.8455329500221141,Adult,Race,Valid,{504.28},0.7711564152035716,0.6240296610700021,-0.09771362793270641,0.11991639752240303,-0.06621389139981698,-0.07057730814696861,3,2.0,5.0
rw1,-,cpp2,Random Forest,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,0.8452012383900929,0.8400996044561573,0.8452012383900929,Adult,Race,Valid,{62.04},0.7710875483048105,0.6240296610700021,-0.09771362793270641,0.11991639752240303,-0.06621389139981698,-0.07057730814696861,3,3.0,3.0
di1,mfc_fdr2,roc3,-,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,0.8460858027421495,0.8388450449570902,0.8460858027421495,Adult,Race,Valid,{4975.89},0.751719712841829,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,4.0,28.0
di1,mfc_sr2,roc3,-,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,0.8460858027421495,0.8388450449570902,0.8460858027421495,Adult,Race,Valid,{5686.34},0.751719712841829,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,4.0,27.0
di1,-,cpp2,Logistic Regression,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,0.8452012383900929,0.8380071800510154,0.8452012383900929,Adult,Race,Valid,{140.38},0.7543075405334889,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,6.0,9.0
di1,-,roc2,Logistic Regression,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,0.8452012383900929,0.8380071800510154,0.8452012383900929,Adult,Race,Valid,{623.63},0.7543075405334889,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,6.0,10.0
rw1,-,roc2,Random Forest,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,0.8437638213180009,0.8386627982639137,0.8437638213180009,Adult,Race,Valid,{500.16},0.7695293647336531,0.6240296610700021,-0.09771362793270641,0.11991639752240303,-0.06621389139981698,-0.07057730814696861,3,8.0,8.0
-,-,cpp1,Logistic Regression,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,0.8431003980539584,0.8354919885472616,0.8431003980539584,Adult,Race,Valid,{14.25},0.7477741434469507,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,9.0,1.0
-,-,roc1,Logistic Regression,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,0.8431003980539584,0.8354919885472616,0.8431003980539584,Adult,Race,Valid,{456.51},0.7477741434469507,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,9.0,6.0
rw1,-,cpp2,Logistic Regression,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,0.8431003980539584,0.8354919885472616,0.8431003980539584,Adult,Race,Valid,{10.54},0.7477741434469507,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,9.0,2.0
rw1,-,roc2,Logistic Regression,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,0.8431003980539584,0.8354919885472616,0.8431003980539584,Adult,Race,Valid,{474.7},0.7477741434469507,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,9.0,6.0
rw1,-,roc2,Random Forest,-0.19595914718965035,0.3679773460022858,0.0,0.0,0.0,0.8455329500221141,0.8403235633189147,0.8455329500221141,Adult,Sex,Valid,{544.52},0.7708540727212055,0.3679773460022858,-0.19595914718965035,0.11885674654641543,-0.05485214000815435,-0.020235262269900023,3,13.0,8.0
-,-,eop1,Random Forest,-0.05651662816048941,0.7756635882200982,0.008666027564168722,0.03516138342257828,0.030662710187932762,0.8453118089341,0.8401737591789109,0.8453118089341,Adult,Race,Valid,{43.59},0.7710097231102756,0.6240296610700021,-0.09771362793270641,0.11991639752240303,-0.06621389139981698,-0.07057730814696861,4,14.0,19.0
-,-,cpp1,Random Forest,-0.19595914718965035,0.3679773460022858,0.0,0.0,0.0,0.8450906678460858,0.8401407904343232,0.8450906678460858,Adult,Sex,Valid,{62.26},0.7717700584640778,0.3679773460022858,-0.19595914718965035,0.11885674654641543,-0.05485214000815435,-0.020235262269900023,3,15.0,4.0
-,-,cpp1,Naive Bayes,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,0.8182220256523662,0.8411685751480577,0.8182220256523662,Adult,Race,Valid,{3.68},0.8044381636837408,0.6240296610700021,-0.09771362793270641,0.0945244623995769,-0.12315440959591817,-0.130780922052544,3,16.0,13.0
-,-,roc1,Naive Bayes,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,0.8182220256523662,0.8411685751480577,0.8182220256523662,Adult,Race,Valid,{511.95},0.8044381636837408,0.6240296610700021,-0.09771362793270641,0.0945244623995769,-0.12315440959591817,-0.130780922052544,3,16.0,16.0
rw1,-,cpp2,Naive Bayes,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,0.8182220256523662,0.8411685751480577,0.8182220256523662,Adult,Race,Valid,{4.35},0.8044381636837408,0.6240296610700021,-0.09771362793270641,0.0945244623995769,-0.12315440959591817,-0.130780922052544,3,16.0,14.0
rw1,-,roc2,Naive Bayes,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,0.8182220256523662,0.8411685751480577,0.8182220256523662,Adult,Race,Valid,{505.16},0.8044381636837408,0.6240296610700021,-0.09771362793270641,0.0945244623995769,-0.12315440959591817,-0.130780922052544,3,16.0,16.0
di1,-,roc2,Random Forest,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,0.8385670057496682,0.833323202699576,0.8385670057496682,Adult,Race,Valid,{696.5},0.7630586757175315,0.6240296610700021,-0.09771362793270641,0.11991639752240303,-0.06621389139981698,-0.07057730814696861,3,20.0,12.0
-,-,roc1,Random Forest,-0.19595914718965035,0.3679773460022858,0.0,0.0,0.0,0.8445378151260504,0.8393465231415199,0.8445378151260504,Adult,Sex,Valid,{525.47},0.7698916158190066,0.3679773460022858,-0.19595914718965035,0.11885674654641543,-0.05485214000815435,-0.020235262269900023,3,21.0,5.0
di1,-,cpp2,Naive Bayes,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,0.7809597523219814,0.8440326044575126,0.7809597523219814,Adult,Race,Valid,{71.18},0.8098036229587683,0.6240296610700021,-0.09771362793270641,0.0945244623995769,-0.12315440959591817,-0.130780922052544,3,22.0,15.0
di1,-,roc2,Naive Bayes,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,0.7809597523219814,0.8440326044575126,0.7809597523219814,Adult,Race,Valid,{264.23},0.8098036229587683,0.6240296610700021,-0.09771362793270641,0.0945244623995769,-0.12315440959591817,-0.130780922052544,3,22.0,18.0
di1,-,cpp2,Random Forest,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,0.8359133126934984,0.830478088143087,0.8359133126934984,Adult,Race,Valid,{84.96},0.7591819732214143,0.6240296610700021,-0.09771362793270641,0.11991639752240303,-0.06621389139981698,-0.07057730814696861,3,24.0,11.0
di1,mfc_fdr2,eop3,-,-0.049794995281637444,0.7894537699504678,0.021669570566838003,0.05964139507905951,0.09000989119683478,0.8460858027421495,0.8388450449570902,0.8460858027421495,Adult,Race,Valid,{5682.25},0.751719712841829,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,2,25.0,57.0
di1,mfc_sr2,eop3,-,-0.049794995281637444,0.7894537699504678,0.021669570566838006,0.05964139507905951,0.09000989119683478,0.8460858027421495,0.8388450449570902,0.8460858027421495,Adult,Race,Valid,{1328.88},0.751719712841829,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,2,26.0,58.0
rw1,-,eop2,Random Forest,-0.057050697992255345,0.7733123440348587,0.008847001227521991,0.03518379973268551,0.03165182987141446,0.8436532507739938,0.8381666684745015,0.8436532507739938,Adult,Race,Valid,{41.63},0.767339621310442,0.6240296610700021,-0.09771362793270641,0.11991639752240303,-0.06621389139981698,-0.07057730814696861,4,27.0,24.0
di1,-,cpp2,Random Forest,-0.19595914718965035,0.3679773460022858,0.0,0.0,0.0,0.8428792569659442,0.8384208865901659,0.8428792569659442,Adult,Sex,Valid,{162.86},0.7716636787017638,0.3679773460022858,-0.19595914718965035,0.11885674654641543,-0.05485214000815435,-0.020235262269900023,3,28.0,11.0
-,-,cpp1,Logistic Regression,-0.19595914718965035,0.3679773460022858,0.0,0.0,0.0,0.8431003980539584,0.8354919885472616,0.8431003980539584,Adult,Sex,Valid,{15.37},0.7477741434469507,0.3679773460022858,-0.19595914718965035,0.13325527745151644,-0.04645117754226176,-0.03204244415904911,3,29.0,1.0
-,-,roc1,Logistic Regression,-0.19595914718965035,0.3679773460022858,0.0,0.0,0.0,0.8431003980539584,0.8354919885472616,0.8431003980539584,Adult,Sex,Valid,{181.14},0.7477741434469507,0.3679773460022858,-0.19595914718965035,0.13325527745151644,-0.04645117754226176,-0.03204244415904911,3,29.0,6.0
