Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
rw1,-,roc2,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8497088523623498,0.845134904575386,0.8497088523623498,Adult,Race,Valid,{38.56},0.7811861775538935,0.629841682713473,-0.09825523584016566,0.11737949936004516,-0.053504415573541936,-0.06048563790226935,3,1.0,1.0
rw1,-,cpp2,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8485295201592098,0.8439689259829866,0.8485295201592098,Adult,Race,Valid,{3.44},0.7800091691328372,0.629841682713473,-0.09825523584016566,0.11737949936004516,-0.053504415573541936,-0.06048563790226935,3,2.0,3.0
-,-,cpp1,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8473501879560699,0.8428425987356739,0.8473501879560699,Adult,Race,Valid,{3.42},0.7790267702891235,0.629841682713473,-0.09825523584016566,0.11737949936004516,-0.053504415573541936,-0.06048563790226935,3,3.0,2.0
-,-,roc1,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8463182722783223,0.841550768213426,0.8463182722783223,Adult,Race,Valid,{37.94},0.7764886636962949,0.629841682713473,-0.09825523584016566,0.11737949936004516,-0.053504415573541936,-0.06048563790226935,3,4.0,4.0
di1,-,cpp2,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8446229822363087,0.8406197601768419,0.8446229822363087,Adult,Race,Valid,{180.3},0.7784699698633664,0.629841682713473,-0.09825523584016566,0.11737949936004516,-0.053504415573541936,-0.06048563790226935,3,5.0,9.0
-,-,eop1,Random Forest,-0.052012647673569,0.7985094071321076,0.008406608450618757,0.03713309767652065,0.027508090614886682,0.849487727574261,0.8449964032758595,0.849487727574261,Adult,Race,Valid,{3.29},0.7814276862211339,0.629841682713473,-0.09825523584016566,0.11737949936004516,-0.053504415573541936,-0.06048563790226935,4,6.0,20.0
di1,-,roc2,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8424854426181175,0.8382686833925702,0.8424854426181175,Adult,Race,Valid,{46.62},0.7749987012559721,0.629841682713473,-0.09825523584016566,0.11737949936004516,-0.053504415573541936,-0.06048563790226935,3,7.0,10.0
rw1,-,cpp2,Random Forest,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8482346871084249,0.843801615301788,0.8482346871084249,Adult,Sex,Valid,{3.68},0.780396050548272,0.3637327995448817,-0.20160953504822413,0.11685777896822137,-0.08226009601944774,-0.08393200867714301,3,7.0,3.0
-,-,cpp1,Random Forest,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8483083953711211,0.8437987698105512,0.8483083953711211,Adult,Sex,Valid,{3.22},0.7800560682227351,0.3637327995448817,-0.20160953504822413,0.11685777896822137,-0.08226009601944774,-0.08393200867714301,3,9.0,2.0
di1,mfc_fdr2,roc3,-,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.84322252524508,0.8360917401484186,0.84322252524508,Adult,Race,Valid,{4310.89},0.7514567867456534,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,3,10.0,28.0
