Pre,In_p,Post,Classifier,Ovr_Rank,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Perf_Rank,Fair_Rank,Rank
-,-,roc1,Random Forest,1.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8491928945234761,0.8446711033421924,0.8491928945234761,Adult,Sex,Valid,{504.61},0.7809388245385274,0.3637327995448817,-0.20160953504822413,0.11550662207751046,-0.08477666895723733,-0.08721615116425119,3,9.0,44.0,1.0
-,-,cpp1,Random Forest,2.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8489717697353873,0.8444313473545456,0.8489717697353873,Adult,Sex,Valid,{71.31},0.7805965044737402,0.3637327995448817,-0.20160953504822413,0.11550662207751046,-0.08477666895723733,-0.08721615116425119,3,10.25,44.0,2.0
rw1,-,cpp2,Random Forest,3.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8485295201592098,0.8441092372204052,0.8485295201592098,Adult,Sex,Valid,{3.59},0.7807876074422073,0.3637327995448817,-0.20160953504822413,0.11550662207751046,-0.08477666895723733,-0.08721615116425119,3,11.75,44.0,3.0
rw1,-,roc2,Random Forest,4.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8485295201592098,0.8438164343989921,0.8485295201592098,Adult,Sex,Valid,{45.96},0.779133426034796,0.3637327995448817,-0.20160953504822413,0.11550662207751046,-0.08477666895723733,-0.08721615116425119,3,14.0,44.0,4.0
rw1,-,roc2,Random Forest,5.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.848603228421906,0.8441067611974832,0.848603228421906,Adult,Race,Valid,{38.12},0.7804476251166704,0.629841682713473,-0.09825523584016566,0.11593938499659286,-0.05101996694139156,-0.05602323664797282,3,11.5,47.5,5.0
-,-,roc1,Random Forest,6.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.848603228421906,0.8438196891188923,0.848603228421906,Adult,Race,Valid,{335.55},0.7787934437092592,0.629841682713473,-0.09825523584016566,0.11593938499659286,-0.05101996694139156,-0.05602323664797282,3,13.5,47.5,6.0
-,-,eop1,Random Forest,7.0,-0.10837797004475472,0.6337599596865789,0.022950289461197593,0.07389950346091456,0.06609294320137693,0.8478661457949436,0.8433723009519505,0.8478661457949436,Adult,Sex,Valid,{3.15},0.7796633424591747,0.3637327995448817,-0.20160953504822413,0.11550662207751046,-0.08477666895723733,-0.08721615116425119,4,18.5,43.0,7.0
di1,-,eop2,Random Forest,7.0,-0.10044199816156854,0.6536847539882435,0.027262378070832757,0.08435004148144482,0.08468158347676424,0.8482346871084249,0.8435074002041721,0.8482346871084249,Adult,Sex,Valid,{355.41},0.7787418691408606,0.3637327995448817,-0.20160953504822413,0.11550662207751046,-0.08477666895723733,-0.08721615116425119,4,18.5,43.0,7.0
rw1,-,eop2,Random Forest,9.0,-0.10836063804759691,0.6309619875110073,0.024275130165621016,0.07622927475575478,0.07332185886402753,0.8480872705830323,0.843420457473928,0.8480872705830323,Adult,Sex,Valid,{3.44},0.7789353098485781,0.3637327995448817,-0.20160953504822413,0.11550662207751046,-0.08477666895723733,-0.08721615116425119,4,18.75,44.0,9.0
-,-,-,Random Forest,10.0,-0.10278924269797649,0.5667742309025545,0.11593938499659286,-0.05101996694139156,-0.05602323664797282,0.8497088523623498,0.8451683354808747,0.8497088523623498,Adult,Race,Valid,{3.04},0.781380787131236,0.629841682713473,-0.09825523584016566,0.11593938499659286,-0.05101996694139156,-0.05602323664797282,1,7.5,61.0,10.0
-,-,cpp1,Random Forest,11.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8477924375322473,0.8429770646869917,0.8477924375322473,Adult,Race,Valid,{3.61},0.7777653146452727,0.629841682713473,-0.09825523584016566,0.11593938499659286,-0.05101996694139156,-0.05602323664797282,3,21.75,47.5,11.0
di1,-,roc2,Random Forest,12.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8458023144394486,0.8410724734336574,0.8458023144394486,Adult,Sex,Valid,{411.0},0.7761440058922573,0.3637327995448817,-0.20160953504822413,0.11550662207751046,-0.08477666895723733,-0.08721615116425119,3,26.5,44.0,12.0
