Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
di1,mfc_fdr2,roc3,-,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8497088523623498,0.8430978545829286,0.8497088523623498,Adult,Race,Valid,{9255.1},0.7607815947962662,0.6333621660042759,-0.09576759945316368,0.13382205274527773,0.02627845635516482,0.05020938863533775,3,1.0,27.0
di1,mfc_sr2,roc3,-,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8497088523623498,0.8430978545829286,0.8497088523623498,Adult,Race,Valid,{3619.05},0.7607815947962662,0.6333621660042759,-0.09576759945316368,0.13382205274527773,0.02627845635516482,0.05020938863533775,3,1.0,28.0
rw1,-,cpp2,Random Forest,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8441807326601312,0.8396581212770887,0.8441807326601312,Adult,Race,Valid,{39.07},0.7736613434118711,0.6333621660042759,-0.09576759945316368,0.12001055389261522,-0.03591254739064171,-0.016583914271862565,3,3.0,2.0
-,-,cpp1,Random Forest,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8435910665585612,0.8390649374642237,0.8435910665585612,Adult,Race,Valid,{78.78},0.7729702024616714,0.6333621660042759,-0.09576759945316368,0.12001055389261522,-0.03591254739064171,-0.016583914271862565,3,4.0,1.0
rw1,-,roc2,Random Forest,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8421906095673325,0.8377681047485762,0.8421906095673325,Adult,Race,Valid,{831.6},0.7718398354261143,0.6333621660042759,-0.09576759945316368,0.12001055389261522,-0.03591254739064171,-0.016583914271862565,3,5.0,4.0
-,-,roc1,Random Forest,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8421906095673325,0.8374290596465934,0.8421906095673325,Adult,Race,Valid,{1045.52},0.7702442288819826,0.6333621660042759,-0.09576759945316368,0.12001055389261522,-0.03591254739064171,-0.016583914271862565,3,6.0,3.0
-,-,cpp1,Logistic Regression,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8413798186776738,0.833757366034689,0.8413798186776738,Adult,Race,Valid,{7.15},0.7479651382238179,0.6333621660042759,-0.09576759945316368,0.13382205274527773,0.02627845635516482,0.05020938863533775,3,7.0,5.0
-,-,roc1,Logistic Regression,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8413798186776738,0.833757366034689,0.8413798186776738,Adult,Race,Valid,{309.12},0.7479651382238179,0.6333621660042759,-0.09576759945316368,0.13382205274527773,0.02627845635516482,0.05020938863533775,3,7.0,6.0
rw1,-,cpp2,Logistic Regression,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8413798186776738,0.833757366034689,0.8413798186776738,Adult,Race,Valid,{11.58},0.7479651382238179,0.6333621660042759,-0.09576759945316368,0.13382205274527773,0.02627845635516482,0.05020938863533775,3,7.0,6.0
rw1,-,roc2,Logistic Regression,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8413798186776738,0.833757366034689,0.8413798186776738,Adult,Race,Valid,{1433.29},0.7479651382238179,0.6333621660042759,-0.09576759945316368,0.13382205274527773,0.02627845635516482,0.05020938863533775,3,7.0,6.0
rw1,-,cpp2,Random Forest,-0.19110178450400037,0.38401030294846744,0.0,0.0,0.0,0.8453600648632712,0.8408658490727506,0.8453600648632712,Adult,Sex,Valid,{81.75},0.7751433507212786,0.38401030294846744,-0.19110178450400037,0.1193146731929062,-0.074796960484129,-0.05710421077393546,3,11.0,2.0
