Pre,In_p,Post,Classifier,Ovr_Rank,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Perf_Rank,Fair_Rank,Rank
di1,mfc_fdr2,roc3,-,1.0,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8497088523623498,0.8430978545829286,0.8497088523623498,Adult,Race,Valid,{3594.85},0.7607815947962662,0.6333621660042759,-0.09576759945316368,0.13382205274527773,0.02627845635516482,0.05020938863533775,3,14.0,46.5,1.0
di1,mfc_sr2,roc3,-,1.0,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8497088523623498,0.8430978545829286,0.8497088523623498,Adult,Race,Valid,{3122.13},0.7607815947962662,0.6333621660042759,-0.09576759945316368,0.13382205274527773,0.02627845635516482,0.05020938863533775,3,14.0,46.5,1.0
di1,-,cpp2,Random Forest,3.0,-0.19110178450400037,0.38401030294846744,0.0,0.0,0.0,0.8440333161347388,0.8404055464562241,0.8440333161347388,Adult,Sex,Valid,{457.13},0.7775523685914073,0.38401030294846744,-0.19110178450400037,0.12008511422684903,-0.07945638439244809,-0.06635069823143214,3,21.0,43.5,3.0
di1,-,roc2,Random Forest,4.0,-0.19110178450400037,0.38401030294846744,0.0,0.0,0.0,0.8436647748212575,0.8401791200428342,0.8436647748212575,Adult,Sex,Valid,{1033.29},0.7777062922754562,0.38401030294846744,-0.19110178450400037,0.12008511422684903,-0.07945638439244809,-0.06635069823143214,3,22.0,43.5,4.0
rw1,-,roc2,Random Forest,4.0,-0.19110178450400037,0.38401030294846744,0.0,0.0,0.0,0.8444755657109162,0.8399856694102241,0.8444755657109162,Adult,Sex,Valid,{317.34},0.7741565020004834,0.38401030294846744,-0.19110178450400037,0.12008511422684903,-0.07945638439244809,-0.06635069823143214,3,22.0,43.5,4.0
rw1,-,eop2,Random Forest,6.0,-0.09611234115622264,0.6705492546108466,0.021758253258060942,0.07323352195818919,0.059633027522935755,0.8440333161347388,0.8395460476721877,0.8440333161347388,Adult,Sex,Valid,{5.38},0.7736630776400856,0.38401030294846744,-0.19110178450400037,0.12008511422684903,-0.07945638439244809,-0.06635069823143214,4,23.0,45.0,6.0
-,-,eop1,Random Forest,7.0,-0.10054939545011746,0.6665993729811894,0.01561424252214553,0.060428675653944504,0.02787579393083983,0.8430751087196875,0.8384756036563219,0.8430751087196875,Adult,Sex,Valid,{3.71},0.7720288808748438,0.38401030294846744,-0.19110178450400037,0.12008511422684903,-0.07945638439244809,-0.06635069823143214,4,29.25,44.0,7.0
di1,mfc_fdr2,eop3,-,8.0,-0.04621284082789043,0.8053924072101576,0.022040765822701765,0.06090680426310347,0.0908792650918635,0.8497088523623498,0.8430978545829286,0.8497088523623498,Adult,Race,Valid,{3355.04},0.7607815947962662,0.6333621660042759,-0.09576759945316368,0.13382205274527773,0.02627845635516482,0.05020938863533775,2,14.0,59.5,8.0
di1,mfc_sr2,eop3,-,8.0,-0.04621284082789043,0.8053924072101576,0.022040765822701765,0.06090680426310347,0.0908792650918635,0.8497088523623498,0.8430978545829286,0.8497088523623498,Adult,Race,Valid,{2634.51},0.7607815947962662,0.6333621660042759,-0.09576759945316368,0.13382205274527773,0.02627845635516482,0.05020938863533775,2,14.0,59.5,8.0
rw1,-,cpp2,Random Forest,10.0,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8432962335077763,0.8388422137695395,0.8432962335077763,Adult,Race,Valid,{33.96},0.7729736709181005,0.6333621660042759,-0.09576759945316368,0.12078836868626928,-0.03177995188126492,-0.01648778775264559,3,27.25,46.5,10.0
