Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
rw1,-,cpp2,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8483083953711211,0.8435597042310583,0.8483083953711211,Adult,Race,Valid,{3.38},0.7786938011813376,0.629841682713473,-0.09825523584016566,0.1166094516504302,-0.046476179554371846,-0.044441094293352634,3,1.0,1.0
-,-,cpp1,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8471290631679811,0.8426208020844912,0.8471290631679811,Adult,Race,Valid,{3.27},0.7787817550130076,0.629841682713473,-0.09825523584016566,0.1166094516504302,-0.046476179554371846,-0.044441094293352634,3,2.0,2.0
-,-,eop1,Random Forest,-0.045581275691255974,0.817784467609234,0.015258748852331565,0.05124647927107796,0.05760517799352749,0.8477924375322473,0.8431982236970549,0.8477924375322473,Adult,Race,Valid,{47.11},0.779030276897999,0.629841682713473,-0.09825523584016566,0.1166094516504302,-0.046476179554371846,-0.044441094293352634,2,3.0,9.0
rw1,-,eop2,Random Forest,-0.04242181040389434,0.826420985971271,0.020144065682441727,0.06052929972802622,0.07928802588996764,0.8491928945234761,0.8446711033421924,0.8491928945234761,Adult,Race,Valid,{3.94},0.7809388245385274,0.629841682713473,-0.09825523584016566,0.1166094516504302,-0.046476179554371846,-0.044441094293352634,2,4.0,11.0
-,-,cpp1,Random Forest,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8491928945234761,0.8446370277275383,0.8491928945234761,Adult,Sex,Valid,{26.47},0.7807442149611848,0.3637327995448817,-0.20160953504822413,0.11571676219591577,-0.08364209503442022,-0.08421106233895848,3,5.0,2.0
di1,-,cpp2,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8432962335077763,0.839309909700144,0.8432962335077763,Adult,Race,Valid,{15.31},0.7769998782066712,0.629841682713473,-0.09825523584016566,0.1166094516504302,-0.046476179554371846,-0.044441094293352634,3,6.0,5.0
rw1,-,cpp2,Random Forest,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8477924375322473,0.8431982236970549,0.8477924375322473,Adult,Sex,Valid,{26.88},0.779030276897999,0.3637327995448817,-0.20160953504822413,0.11571676219591577,-0.08364209503442022,-0.08421106233895848,3,7.0,1.0
di1,-,cpp2,Random Forest,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8458760227021449,0.8417451130912764,0.8458760227021449,Adult,Sex,Valid,{10.49},0.7793069959588859,0.3637327995448817,-0.20160953504822413,0.11571676219591577,-0.08364209503442022,-0.08421106233895848,3,8.0,5.0
di1,mfc_fdr2,eop3,-,-0.05003058352764153,0.7960048956759107,0.01902339099866949,0.05485880767337322,0.07605177993527512,0.84322252524508,0.8360917401484186,0.84322252524508,Adult,Race,Valid,{3234.81},0.7514567867456534,0.629841682713473,-0.09825523584016566,0.13001360633499498,0.030046503208227902,0.07825081911194198,3,9.0,41.0
di1,mfc_sr2,eop3,-,-0.05003058352764153,0.7960048956759107,0.01902339099866949,0.05485880767337322,0.07605177993527512,0.84322252524508,0.8360917401484186,0.84322252524508,Adult,Race,Valid,{2309.14},0.7514567867456534,0.629841682713473,-0.09825523584016566,0.13001360633499498,0.030046503208227902,0.07825081911194198,3,9.0,40.0
