,Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Score,Rank,Ovr_Rank,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Orig AUC
0,rw,-,-,Logistic Regression,-0.2488076311605723,0.5154798761609908,0.0,0.0,0.0,1.0,1.0,1.0,Ricci,Race,Valid,{0.02},1.0,0.5154798761609908,-0.2488076311605723,0,1.0,1.0,0.0,0.0,0.0,1.0
1,rw,-,-,Random Forest,-0.2488076311605723,0.5154798761609908,0.0,0.0,0.0,1.0,1.0,1.0,Ricci,Race,Valid,{0.26},1.0,0.5154798761609908,-0.2488076311605723,0,1.0,1.0,0.0,0.0,0.0,1.0
2,-,-,cpp,Random Forest,-0.1349451950762883,0.4928146774427426,0.0,0.0,0.0,0.8472252929471591,0.8417601374313441,0.8472252929471591,Adult,Race,Valid,{2.91},0.7714690066959301,0.4928146774427426,-0.1349451950762883,3,1.0,1.0,0.11726572472135548,-0.045729456943690655,-0.044666425455788035,0.7789548876932747
3,-,-,cpp,Random Forest,-0.2488076311605723,0.5154798761609908,0.0,0.0,0.0,1.0,1.0,1.0,Ricci,Race,Valid,{0.27},1.0,0.5154798761609908,-0.2488076311605723,0,1.0,1.0,0.0,0.0,0.0,1.0
4,rw,-,roc,Random Forest,-0.2488076311605723,0.5154798761609908,0.0,0.0,0.0,1.0,1.0,1.0,Ricci,Race,Valid,{5.06},1.0,0.5154798761609908,-0.2488076311605723,0,1.0,1.0,0.0,0.0,0.0,1.0
5,rw,mfc_sr,roc,-,-0.07197474314287278,0.8789515683506229,0.0,0.0,0.0,0.5148568341437061,0.4277203180575632,0.5148568341437061,Compas,Sex,Fail,{455.71},0.4821102812910133,0.8789515683506229,-0.07197474314287278,3,1.0,1.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
6,rw,mfc_sr,roc,-,-0.2488076311605723,0.5154798761609908,0.0,0.0,0.0,0.9154929577464788,0.9154929577464788,0.9154929577464788,Ricci,Race,Valid,{4.97},0.9115448504983388,0.5154798761609908,-0.2488076311605723,3,1.0,1.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
7,-,-,-,Random Forest,-0.2488076311605727,0.51547987616099,0.0,0.0,0.0,1.0,1.0,1.0,Ricci,Race,-,-,1.0,0.51547987616099,-0.2488076311605727,0,1.0,1.0,0.0,0.0,0.0,1.0
8,rw,-,cpp,Random Forest,-0.1349451950762883,0.4928146774427426,0.0,0.0,0.0,0.8472252929471591,0.8417601374313441,0.8472252929471591,Adult,Race,Valid,{3.02},0.7714690066959301,0.4928146774427426,-0.1349451950762883,3,1.0,2.0,0.11726572472135548,-0.045729456943690655,-0.044666425455788035,0.7789548876932747
9,rw,-,cpp,Random Forest,-0.2488076311605723,0.5154798761609908,0.0,0.0,0.0,1.0,1.0,1.0,Ricci,Race,Valid,{0.29},1.0,0.5154798761609908,-0.2488076311605723,0,1.0,2.0,0.0,0.0,0.0,1.0
